id,tainted_weight,tag,start_time
TP5Ct1fCmhRConWimVpx4U9MwiMuExi9m2,100000.0,无标签,0
TKvc9ZeoR7wMQbYXvbGLNePT6fdb4Z79P7,1683014.19,无标签,0
TFZ2ZkJJe13TuKEuosSb2SivXio8k2W6xQ,1327748.7043607137,无标签,0
TFmhJkxYiqJNRffPgEdVPqPzECFawGSn5r,684215.9643607137,无标签,0
TPvtEfVE9AFvJ2py5HQtnhpM1rxU4Jn9GB,258464.43436071376,无标签,0
TPst7zS6GbNDLgp1h7KF5pwFfTNMFBwLaC,1028414.6270275344,无标签,0
TNsRszv5tPnkLkZq7v2dvqQxfa1X7J93Nf,299980.50166453706,无标签,0
TPzYipakHqgKFoK14oVvhE8bDBQqWG1N1n,212912.35536785476,无标签,0
THFXzc79ba5CUMFQdxfdFNyV4W1iBAyxp4,440059.8957283947,无标签,0
TQRW4oxi44PURCmpHZboushEQbBW7yu8B8,868525.2592229929,无标签,0
TBQeYaWDSDgZV1LJbJQZ1iJG5ebbCFBNQM,1029805.2616348066,未检查tag,0
TLJc19uyG4cb6nprziNicLagUzCWjYz8WK,203455.01469641193,未检查tag,0
TCtsachKZpUy2W4TVvgHzw8zEDCNmucqHK,196466.34166453703,未检查tag,0
TCKrLHVtCHBpyLt2ujBH63w2gqqaghpQyN,187213.9549214276,未检查tag,0
TFdNBqYVHtWuWsUEhz4A7Kxayz8VRs7eas,178688.04419802877,未检查tag,0
TK1S8jit4S1TzSPZRV9Hd9i88FET56CzLW,178031.30735354865,未检查tag,0
TQSRugkCfdTDekJDq8sR4zfZY75BDL7PGY,174327.9473535486,未检查tag,0
TWYAFBF7ChJyGJGF8PcTUtVRdSuyXUgSmM,149640.8471235046,未检查tag,0
TYQ9vUPQ27bF4ezBMKBPRNNu6BWnPndTk5,147751.9471235046,未检查tag,0
TJ25YsKW7i9LPNFRdVN1M4szdMms8uJyyM,132907.6883922717,未检查tag,0
TQFFiCwko1gMPZGk46JS5KPCqeuY7bmaay,125493.68166453704,未检查tag,0
TUgvKgHLznBVfdNgVrfa4qujERUGuS6UYF,125272.21536785475,未检查tag,0
TJ1H2nSepkSLiDsW88cF7aMJuG9JcuYe3X,120900.64070743394,未检查tag,0
